data,system,example_id,source,target,SignCLIP-P-P,SignCLIP-P-T,SignCLIP-Suisse-P-P,SignCLIP-Suisse-P-T
signsuisse_test,ref,0,fra,fsl,,81.15950012207031,,91.8424072265625
signsuisse_test,ref,1,ita,ise,,68.9079360961914,,84.96562194824219
signsuisse_test,ref,2,fra,fsl,,78.49072265625,,86.40247344970703
signsuisse_test,ref,3,fra,fsl,,73.67610931396484,,85.6722640991211
signsuisse_test,ref,4,ita,ise,,73.43122100830078,,88.26956939697266
signsuisse_test,ref,5,ita,ise,,77.22273254394531,,88.28297424316406
signsuisse_test,ref,6,deu,sgg,,69.46324157714844,,85.0013198852539
signsuisse_test,ref,7,deu,sgg,,72.32225036621094,,87.17046356201172
signsuisse_test,ref,8,ita,ise,,65.48257446289062,,87.44610595703125
signsuisse_test,ref,9,deu,sgg,,76.50619506835938,,87.95403289794922
signsuisse_test,ref,10,deu,sgg,,71.44419860839844,,88.64628601074219
signsuisse_test,ref,11,fra,fsl,,71.56531524658203,,84.27420806884766
signsuisse_test,ref,12,ita,ise,,72.74334716796875,,87.03853607177734
signsuisse_test,ref,13,deu,sgg,,75.50746154785156,,86.73017883300781
signsuisse_test,ref,14,deu,sgg,,69.75276947021484,,84.93602752685547
signsuisse_test,ref,15,deu,sgg,,69.5250244140625,,84.52902221679688
signsuisse_test,ref,16,deu,sgg,,70.88465881347656,,91.07100677490234
signsuisse_test,ref,17,deu,sgg,,72.05187225341797,,88.15705871582031
signsuisse_test,ref,18,fra,fsl,,75.72453308105469,,88.12796783447266
signsuisse_test,ref,19,ita,ise,,74.0807876586914,,88.06288146972656
signsuisse_test,ref,20,fra,fsl,,74.80318450927734,,83.4339599609375
signsuisse_test,ref,21,ita,ise,,74.89797973632812,,87.5014419555664
signsuisse_test,ref,22,deu,sgg,,69.29569244384766,,84.6231689453125
signsuisse_test,ref,23,deu,sgg,,76.4263916015625,,88.30095672607422
signsuisse_test,ref,24,deu,sgg,,78.13662719726562,,88.60558319091797
signsuisse_test,ref,25,deu,sgg,,69.20394897460938,,89.7660140991211
signsuisse_test,ref,26,deu,sgg,,75.5544662475586,,87.96236419677734
signsuisse_test,ref,27,deu,sgg,,77.58915710449219,,84.09078216552734
signsuisse_test,ref,28,ita,ise,,69.58551788330078,,85.64998626708984
signsuisse_test,ref,29,ita,ise,,72.88554382324219,,85.52159881591797
signsuisse_test,ref,30,deu,sgg,,75.16600799560547,,86.06317901611328
signsuisse_test,ref,31,fra,fsl,,79.37425994873047,,88.2088851928711
signsuisse_test,ref,32,fra,fsl,,72.13519287109375,,88.05461120605469
signsuisse_test,ref,33,deu,sgg,,73.43980407714844,,86.82599639892578
signsuisse_test,ref,34,deu,sgg,,74.2005615234375,,85.32405853271484
signsuisse_test,ref,35,deu,sgg,,73.81786346435547,,86.7184829711914
signsuisse_test,ref,36,deu,sgg,,75.56590270996094,,91.63548278808594
signsuisse_test,ref,37,fra,fsl,,71.75560760498047,,89.96124267578125
signsuisse_test,ref,38,deu,sgg,,69.11515808105469,,88.85324096679688
signsuisse_test,ref,39,deu,sgg,,75.72219848632812,,84.63876342773438
signsuisse_test,ref,40,fra,fsl,,73.57288360595703,,86.46839141845703
signsuisse_test,ref,41,ita,ise,,73.44117736816406,,89.40061950683594
signsuisse_test,ref,42,ita,ise,,71.22815704345703,,88.58944702148438
signsuisse_test,ref,43,deu,sgg,,71.77640533447266,,88.37175750732422
signsuisse_test,ref,44,ita,ise,,75.47811126708984,,87.22982025146484
signsuisse_test,ref,45,ita,ise,,70.86079406738281,,89.64118194580078
signsuisse_test,ref,46,fra,fsl,,75.03095245361328,,86.2359619140625
signsuisse_test,ref,47,deu,sgg,,71.06867980957031,,92.28286743164062
signsuisse_test,ref,48,deu,sgg,,77.34140014648438,,90.20687866210938
signsuisse_test,ref,49,deu,sgg,,77.1777572631836,,88.29044342041016
signsuisse_test,ref,50,ita,ise,,69.91212463378906,,83.89350891113281
signsuisse_test,ref,51,deu,sgg,,71.26188659667969,,86.79802703857422
signsuisse_test,ref,52,deu,sgg,,80.41057586669922,,88.47036743164062
signsuisse_test,ref,53,ita,ise,,65.83470153808594,,87.26434326171875
signsuisse_test,ref,54,ita,ise,,74.53228759765625,,87.85255432128906
signsuisse_test,ref,55,fra,fsl,,82.34675598144531,,88.67911529541016
signsuisse_test,ref,56,ita,ise,,72.58776092529297,,84.46476745605469
signsuisse_test,ref,57,deu,sgg,,76.56497955322266,,85.98390197753906
signsuisse_test,ref,58,fra,fsl,,80.28943634033203,,89.76764678955078
signsuisse_test,ref,59,ita,ise,,72.53177642822266,,88.8101577758789
signsuisse_test,ref,60,deu,sgg,,75.4755630493164,,87.69359588623047
signsuisse_test,ref,61,deu,sgg,,75.3660888671875,,88.97699737548828
signsuisse_test,ref,62,deu,sgg,,77.65187072753906,,86.71818542480469
signsuisse_test,ref,63,fra,fsl,,78.03890228271484,,84.41114807128906
signsuisse_test,ref,64,ita,ise,,71.11589813232422,,83.93374633789062
signsuisse_test,ref,65,fra,fsl,,77.88780975341797,,89.17906951904297
signsuisse_test,ref,66,fra,fsl,,72.63555145263672,,84.54328155517578
