data,system,example_id,source,target,SignCLIP-P-P,SignCLIP-P-T,SignCLIP-Suisse-P-P,SignCLIP-Suisse-P-T
signsuisse_test,sign_mt,0,fra,fsl,99.56724548339844,81.50226593017578,112.86604309082031,82.01665496826172
signsuisse_test,sign_mt,1,ita,ise,81.98103332519531,79.65982055664062,82.29531860351562,68.92859649658203
signsuisse_test,sign_mt,2,fra,fsl,79.49092102050781,75.5940170288086,96.04195404052734,80.10416412353516
signsuisse_test,sign_mt,3,fra,fsl,95.21932983398438,73.36190795898438,101.33773803710938,83.90792846679688
signsuisse_test,sign_mt,4,ita,ise,95.32815551757812,77.76509857177734,97.79988098144531,76.28019714355469
signsuisse_test,sign_mt,5,ita,ise,83.23395538330078,77.39598083496094,81.9780044555664,75.15799713134766
signsuisse_test,sign_mt,6,deu,sgg,76.99140167236328,72.8914794921875,82.36248016357422,69.41008758544922
signsuisse_test,sign_mt,7,deu,sgg,78.64044952392578,83.06440734863281,93.1077880859375,77.66600036621094
signsuisse_test,sign_mt,8,ita,ise,90.80561828613281,72.04846954345703,75.44905090332031,71.79066467285156
signsuisse_test,sign_mt,9,deu,sgg,74.16194152832031,78.45905303955078,85.21842193603516,74.21131896972656
signsuisse_test,sign_mt,10,deu,sgg,91.85202026367188,82.5008544921875,91.4247055053711,76.66041564941406
signsuisse_test,sign_mt,11,fra,fsl,86.30763244628906,74.89955139160156,95.43285369873047,81.03549194335938
signsuisse_test,sign_mt,12,ita,ise,82.31961059570312,78.4124984741211,86.35798645019531,71.68605041503906
signsuisse_test,sign_mt,13,deu,sgg,88.92842102050781,80.06111907958984,84.2905502319336,76.07575225830078
signsuisse_test,sign_mt,14,deu,sgg,87.7015151977539,84.11981964111328,85.69412231445312,75.93321228027344
signsuisse_test,sign_mt,15,deu,sgg,92.65530395507812,73.03176879882812,88.83997344970703,80.27529907226562
signsuisse_test,sign_mt,16,deu,sgg,91.67869567871094,85.0142593383789,83.71736907958984,80.7000961303711
signsuisse_test,sign_mt,17,deu,sgg,102.5916976928711,78.60598754882812,98.29400634765625,84.2115707397461
signsuisse_test,sign_mt,18,fra,fsl,83.01746368408203,72.10684967041016,95.78996276855469,85.66204071044922
signsuisse_test,sign_mt,19,ita,ise,77.52268981933594,81.55341339111328,79.59812927246094,77.05462646484375
signsuisse_test,sign_mt,20,fra,fsl,82.75729370117188,73.32329559326172,94.24967193603516,81.0789794921875
signsuisse_test,sign_mt,21,ita,ise,80.754638671875,82.12876892089844,90.16893005371094,78.32733917236328
signsuisse_test,sign_mt,22,deu,sgg,84.55925750732422,71.94562530517578,86.42790985107422,75.9537582397461
signsuisse_test,sign_mt,23,deu,sgg,78.94371795654297,78.5078125,81.55950927734375,72.31948852539062
signsuisse_test,sign_mt,24,deu,sgg,92.23231506347656,83.33155822753906,95.92564392089844,83.61293029785156
signsuisse_test,sign_mt,25,deu,sgg,105.50382995605469,72.50653076171875,96.91961669921875,80.6635971069336
signsuisse_test,sign_mt,26,deu,sgg,110.96422576904297,82.0172348022461,95.15389251708984,77.19778442382812
signsuisse_test,sign_mt,27,deu,sgg,79.38868713378906,77.03784942626953,85.63078308105469,75.08238220214844
signsuisse_test,sign_mt,28,ita,ise,77.67633056640625,72.95275115966797,85.05441284179688,70.7562484741211
signsuisse_test,sign_mt,29,ita,ise,81.67173767089844,80.93389892578125,78.85846710205078,69.98058319091797
signsuisse_test,sign_mt,30,deu,sgg,63.01263427734375,71.61956024169922,69.0655746459961,73.60601806640625
signsuisse_test,sign_mt,31,fra,fsl,89.99317169189453,83.97456359863281,109.09402465820312,81.87594604492188
signsuisse_test,sign_mt,32,fra,fsl,83.345703125,79.0999755859375,93.71693420410156,83.27713012695312
signsuisse_test,sign_mt,33,deu,sgg,77.81143951416016,72.05229187011719,79.38314819335938,71.37918090820312
signsuisse_test,sign_mt,34,deu,sgg,68.73641967773438,69.65117645263672,79.70873260498047,73.33326721191406
signsuisse_test,sign_mt,35,deu,sgg,72.21560668945312,70.13959503173828,77.90699005126953,68.6971206665039
signsuisse_test,sign_mt,36,deu,sgg,95.61210632324219,78.30980682373047,85.47188568115234,73.76506805419922
signsuisse_test,sign_mt,37,fra,fsl,98.44529724121094,81.64213562011719,109.65934753417969,89.32063293457031
signsuisse_test,sign_mt,38,deu,sgg,68.7919692993164,68.28575897216797,78.44483184814453,69.94349670410156
signsuisse_test,sign_mt,39,deu,sgg,66.89962005615234,71.66552734375,80.19657135009766,72.65254211425781
signsuisse_test,sign_mt,40,fra,fsl,76.30705261230469,72.30357360839844,93.2068862915039,80.67462921142578
signsuisse_test,sign_mt,41,ita,ise,109.2509765625,77.65562438964844,96.3758544921875,74.5245590209961
signsuisse_test,sign_mt,42,ita,ise,83.31980895996094,74.96736145019531,90.1445541381836,78.17059326171875
signsuisse_test,sign_mt,43,deu,sgg,67.7240982055664,72.27501678466797,85.29199981689453,73.99664306640625
signsuisse_test,sign_mt,44,ita,ise,92.97666931152344,76.14138793945312,90.62091064453125,79.4734115600586
signsuisse_test,sign_mt,45,ita,ise,73.22479248046875,76.87255096435547,69.36729431152344,69.51654815673828
signsuisse_test,sign_mt,46,fra,fsl,96.55303192138672,81.78681945800781,104.21896362304688,84.14019012451172
signsuisse_test,sign_mt,47,deu,sgg,78.41311645507812,69.79861450195312,83.2162857055664,73.03421783447266
signsuisse_test,sign_mt,48,deu,sgg,90.05293273925781,78.58526611328125,87.12357330322266,78.45053100585938
signsuisse_test,sign_mt,49,deu,sgg,94.11422729492188,85.39481353759766,91.015380859375,81.1187744140625
signsuisse_test,sign_mt,50,ita,ise,89.40878295898438,80.90257263183594,75.12723541259766,73.26360321044922
signsuisse_test,sign_mt,51,deu,sgg,84.67696380615234,79.7721939086914,82.58894348144531,76.49252319335938
signsuisse_test,sign_mt,52,deu,sgg,76.52916717529297,73.93309020996094,81.87260437011719,74.01671600341797
signsuisse_test,sign_mt,53,ita,ise,91.2735824584961,79.2176284790039,87.7711410522461,75.9961929321289
signsuisse_test,sign_mt,54,ita,ise,85.56504821777344,78.12467193603516,87.09993743896484,75.52811431884766
signsuisse_test,sign_mt,55,fra,fsl,95.93302917480469,87.37507629394531,104.98124694824219,82.68701934814453
signsuisse_test,sign_mt,56,ita,ise,84.8454818725586,77.25920104980469,91.96733093261719,72.91645812988281
signsuisse_test,sign_mt,57,deu,sgg,74.98086547851562,83.40768432617188,94.20086669921875,79.93211364746094
signsuisse_test,sign_mt,58,fra,fsl,96.74667358398438,82.28642272949219,103.43646240234375,83.94593811035156
signsuisse_test,sign_mt,59,ita,ise,89.72410583496094,76.81499481201172,85.08650207519531,75.99240112304688
signsuisse_test,sign_mt,60,deu,sgg,72.39978790283203,72.55813598632812,72.43353271484375,69.37625885009766
signsuisse_test,sign_mt,61,deu,sgg,102.8149642944336,79.76664733886719,102.33047485351562,79.65667724609375
signsuisse_test,sign_mt,62,deu,sgg,70.0923080444336,75.47763061523438,69.59774780273438,70.41216278076172
signsuisse_test,sign_mt,63,fra,fsl,89.76161193847656,81.49642944335938,103.28954315185547,82.11053466796875
signsuisse_test,sign_mt,64,ita,ise,83.68568420410156,77.49482727050781,86.72331237792969,76.17357635498047
signsuisse_test,sign_mt,65,fra,fsl,97.54246520996094,83.2228775024414,108.04051208496094,85.76744842529297
signsuisse_test,sign_mt,66,fra,fsl,83.97159576416016,74.10963439941406,97.66636657714844,82.54862976074219
signsuisse_test,sign_mt,67,deu,sgg,70.0081558227539,73.1799545288086,72.36261749267578,71.21207427978516
signsuisse_test,sign_mt,68,deu,sgg,66.6541976928711,74.59566497802734,82.92543029785156,75.5158462524414
signsuisse_test,sign_mt,69,fra,fsl,88.40327453613281,85.5848617553711,109.17050170898438,89.29936218261719
signsuisse_test,sign_mt,70,ita,ise,91.26788330078125,79.11608123779297,88.92240142822266,77.54583740234375
signsuisse_test,sign_mt,71,deu,sgg,79.20108032226562,70.16718292236328,79.27631378173828,62.1650390625
signsuisse_test,sign_mt,72,deu,sgg,101.65770721435547,75.75883483886719,93.09339904785156,80.7190170288086
signsuisse_test,sign_mt,73,deu,sgg,98.89279174804688,81.89759063720703,102.21831512451172,81.43571472167969
signsuisse_test,sign_mt,74,fra,fsl,93.71965026855469,80.96804809570312,112.38855743408203,91.11776733398438
signsuisse_test,sign_mt,75,fra,fsl,87.85505676269531,82.46266174316406,92.40789031982422,76.77694702148438
signsuisse_test,sign_mt,76,deu,sgg,70.46524810791016,73.2040786743164,75.80596923828125,68.40673828125
signsuisse_test,sign_mt,77,fra,fsl,73.671875,69.91573333740234,92.4145736694336,77.84227752685547
signsuisse_test,sign_mt,78,ita,ise,91.4201431274414,83.54821014404297,88.9248046875,77.01102447509766
signsuisse_test,sign_mt,79,ita,ise,81.52081298828125,78.31094360351562,81.81224060058594,77.81443786621094
signsuisse_test,sign_mt,80,deu,sgg,76.92511749267578,71.45668029785156,80.62318420410156,75.36282348632812
signsuisse_test,sign_mt,81,deu,sgg,63.571773529052734,68.1596450805664,69.82022094726562,70.93081665039062
signsuisse_test,sign_mt,82,ita,ise,96.91078186035156,78.90078735351562,91.88935089111328,80.69155883789062
signsuisse_test,sign_mt,83,ita,ise,93.48170471191406,71.33250427246094,84.35008239746094,76.13245391845703
signsuisse_test,sign_mt,84,ita,ise,100.13047790527344,84.07197570800781,88.8274917602539,82.49322509765625
signsuisse_test,sign_mt,85,deu,sgg,98.85603332519531,82.51425170898438,96.51522064208984,75.87980651855469
signsuisse_test,sign_mt,86,deu,sgg,74.38906860351562,73.63565826416016,86.05976867675781,73.85775756835938
signsuisse_test,sign_mt,87,ita,ise,79.08058166503906,79.95291900634766,80.9957504272461,75.19534301757812
signsuisse_test,sign_mt,88,fra,fsl,92.19552612304688,72.73573303222656,106.949462890625,88.07267761230469
signsuisse_test,sign_mt,89,deu,sgg,67.30305480957031,63.950294494628906,80.44091033935547,72.06629943847656
signsuisse_test,sign_mt,90,deu,sgg,88.18975830078125,79.7738037109375,90.36897277832031,76.3704833984375
signsuisse_test,sign_mt,91,fra,fsl,80.14756774902344,82.08748626708984,96.69877624511719,84.6236801147461
signsuisse_test,sign_mt,92,fra,fsl,78.39199829101562,73.14945220947266,89.42102813720703,77.69585418701172
signsuisse_test,sign_mt,93,deu,sgg,120.64990234375,82.19862365722656,106.43751525878906,83.12799835205078
signsuisse_test,sign_mt,94,fra,fsl,108.83303833007812,82.02784729003906,117.58670806884766,85.48689270019531
signsuisse_test,sign_mt,95,deu,sgg,93.94337463378906,79.67635345458984,90.5157241821289,78.12553405761719
signsuisse_test,sign_mt,96,ita,ise,76.48194885253906,79.20133972167969,90.05014038085938,74.8462142944336
signsuisse_test,sign_mt,97,deu,sgg,75.67815399169922,79.27079772949219,80.95738983154297,79.45877075195312
signsuisse_test,sign_mt,98,deu,sgg,65.74161529541016,72.03199768066406,72.10616302490234,71.99040222167969
signsuisse_test,sign_mt,99,deu,sgg,78.48149871826172,73.41433715820312,84.76191711425781,74.91548919677734
signsuisse_test,sign_mt,100,fra,fsl,79.53484344482422,75.21917724609375,98.4144515991211,84.13395690917969
signsuisse_test,sign_mt,101,deu,sgg,103.80023193359375,81.24195861816406,99.9831771850586,82.80821990966797
signsuisse_test,sign_mt,102,deu,sgg,92.34378051757812,86.81587982177734,102.82171630859375,80.8101577758789
signsuisse_test,sign_mt,103,deu,sgg,69.99164581298828,69.38809204101562,73.94640350341797,73.39559173583984
signsuisse_test,sign_mt,104,fra,fsl,89.49068450927734,80.0954818725586,102.24240112304688,82.41818237304688
signsuisse_test,sign_mt,105,fra,fsl,93.91825866699219,78.32466888427734,104.99076080322266,82.27971649169922
