data,system,example_id,source,target,MeanL2Score
signsuisse_test,sign_mt,0,fra,fsl,0.562829030421283
signsuisse_test,sign_mt,1,ita,lse,0.5334149407616071
signsuisse_test,sign_mt,2,fra,fsl,0.44339812890492875
signsuisse_test,sign_mt,3,fra,fsl,0.43469836361060865
signsuisse_test,sign_mt,4,ita,lse,0.46045576904754476
signsuisse_test,sign_mt,5,ita,lse,0.4535481591917391
signsuisse_test,sign_mt,6,deu,sgg,0.4245040476177387
signsuisse_test,sign_mt,7,deu,sgg,0.5142784482244578
signsuisse_test,sign_mt,8,ita,lse,0.550647388950098
signsuisse_test,sign_mt,9,deu,sgg,0.5462185625157228
signsuisse_test,sign_mt,10,deu,sgg,0.510774247159281
signsuisse_test,sign_mt,11,fra,fsl,0.28699061750569027
signsuisse_test,sign_mt,12,ita,lse,0.5439811760075908
signsuisse_test,sign_mt,13,deu,sgg,0.5672788862637833
signsuisse_test,sign_mt,14,deu,sgg,0.44105582867041787
signsuisse_test,sign_mt,15,deu,sgg,0.481404942916022
signsuisse_test,sign_mt,16,deu,sgg,0.46033688784541354
signsuisse_test,sign_mt,17,deu,sgg,0.43727667719690777
signsuisse_test,sign_mt,18,fra,fsl,0.2791153914364824
signsuisse_test,sign_mt,19,ita,lse,0.5304867118703976
signsuisse_test,sign_mt,20,fra,fsl,0.298948203281878
signsuisse_test,sign_mt,21,ita,lse,0.6003702345425902
signsuisse_test,sign_mt,22,deu,sgg,0.5407513683682915
signsuisse_test,sign_mt,23,deu,sgg,0.5073470018621747
signsuisse_test,sign_mt,24,deu,sgg,0.5332108808679484
signsuisse_test,sign_mt,25,deu,sgg,0.3517957824435468
signsuisse_test,sign_mt,26,deu,sgg,0.4824277751391953
signsuisse_test,sign_mt,27,deu,sgg,0.5231722569958459
signsuisse_test,sign_mt,28,ita,lse,0.44676875335729127
signsuisse_test,sign_mt,29,ita,lse,0.5364470503487218
signsuisse_test,sign_mt,30,deu,sgg,0.39117230413856097
signsuisse_test,sign_mt,31,fra,fsl,0.5259089944947212
signsuisse_test,sign_mt,32,fra,fsl,0.5621314613192966
signsuisse_test,sign_mt,33,deu,sgg,0.4480671274769405
signsuisse_test,sign_mt,34,deu,sgg,0.3975525447219817
signsuisse_test,sign_mt,35,deu,sgg,0.4737736703663625
signsuisse_test,sign_mt,36,deu,sgg,0.479578668886812
signsuisse_test,sign_mt,37,fra,fsl,0.3966620973492112
signsuisse_test,sign_mt,38,deu,sgg,0.4256840622630506
signsuisse_test,sign_mt,39,deu,sgg,0.4659056621496791
signsuisse_test,sign_mt,40,fra,fsl,0.29673200979051567
signsuisse_test,sign_mt,41,ita,lse,0.45325718426565514
signsuisse_test,sign_mt,42,ita,lse,0.324960693298602
signsuisse_test,sign_mt,43,deu,sgg,0.26738347218490327
signsuisse_test,sign_mt,44,ita,lse,0.5149853281868618
signsuisse_test,sign_mt,45,ita,lse,0.590496325457128
signsuisse_test,sign_mt,46,fra,fsl,0.446235889398863
signsuisse_test,sign_mt,47,deu,sgg,0.4741917694613607
signsuisse_test,sign_mt,48,deu,sgg,0.4846384838834531
signsuisse_test,sign_mt,49,deu,sgg,0.5690011302465088
signsuisse_test,sign_mt,50,ita,lse,0.5332590141369852
signsuisse_test,sign_mt,51,deu,sgg,0.4907475230090815
signsuisse_test,sign_mt,52,deu,sgg,0.3461492054589206
signsuisse_test,sign_mt,53,ita,lse,0.5071780107399448
signsuisse_test,sign_mt,54,ita,lse,0.5062740048294957
signsuisse_test,sign_mt,55,fra,fsl,0.5839236421471484
signsuisse_test,sign_mt,56,ita,lse,0.5192011452924407
signsuisse_test,sign_mt,57,deu,sgg,0.481148041896988
signsuisse_test,sign_mt,58,fra,fsl,0.4669096498402641
signsuisse_test,sign_mt,59,ita,lse,0.4513385815136014
signsuisse_test,sign_mt,60,deu,sgg,0.49393728534723275
signsuisse_test,sign_mt,61,deu,sgg,0.42515002426445553
signsuisse_test,sign_mt,62,deu,sgg,0.5023729761195899
signsuisse_test,sign_mt,63,fra,fsl,0.48446386728913043
signsuisse_test,sign_mt,64,ita,lse,0.5401128952385664
signsuisse_test,sign_mt,65,fra,fsl,0.5357889125111476
signsuisse_test,sign_mt,66,fra,fsl,0.4875827750884508
signsuisse_test,sign_mt,67,deu,sgg,0.4600976613473602
signsuisse_test,sign_mt,68,deu,sgg,0.15554385813469387
signsuisse_test,sign_mt,69,fra,fsl,0.6142101082135996
signsuisse_test,sign_mt,70,ita,lse,0.4893265471089051
signsuisse_test,sign_mt,71,deu,sgg,0.43371212420475047
signsuisse_test,sign_mt,72,deu,sgg,0.27574556523249083
signsuisse_test,sign_mt,73,deu,sgg,0.4960197415175714
signsuisse_test,sign_mt,74,fra,fsl,0.4283275572117557
signsuisse_test,sign_mt,75,fra,fsl,0.6063784358394413
signsuisse_test,sign_mt,76,deu,sgg,0.4463941492573426
signsuisse_test,sign_mt,77,fra,fsl,0.4796709331106559
signsuisse_test,sign_mt,78,ita,lse,0.502573295020644
signsuisse_test,sign_mt,79,ita,lse,0.48101279135879904
signsuisse_test,sign_mt,80,deu,sgg,0.44417255289092483
