data,system,example_id,source,target,MeanL2Score
signsuisse_test,sign_mt_v2,0,fra,fsl,0.5197459830201684
signsuisse_test,sign_mt_v2,1,ita,lse,0.17222667379453885
signsuisse_test,sign_mt_v2,2,fra,fsl,0.2949754415212585
signsuisse_test,sign_mt_v2,3,fra,fsl,0.3021778262723539
signsuisse_test,sign_mt_v2,4,ita,lse,0.4202698451354525
signsuisse_test,sign_mt_v2,5,ita,lse,0.4535481590974963
signsuisse_test,sign_mt_v2,6,deu,sgg,0.4245040476177387
signsuisse_test,sign_mt_v2,7,deu,sgg,0.37453335874952465
signsuisse_test,sign_mt_v2,8,ita,lse,0.5063409617576494
signsuisse_test,sign_mt_v2,9,deu,sgg,0.24260087460952937
signsuisse_test,sign_mt_v2,10,deu,sgg,0.27805383416005247
signsuisse_test,sign_mt_v2,11,fra,fsl,0.28699061750569027
signsuisse_test,sign_mt_v2,12,ita,lse,0.23247497310513415
signsuisse_test,sign_mt_v2,13,deu,sgg,0.24618930641181855
signsuisse_test,sign_mt_v2,14,deu,sgg,0.3278993725124284
signsuisse_test,sign_mt_v2,15,deu,sgg,0.481404942916022
signsuisse_test,sign_mt_v2,16,deu,sgg,0.15390012570075334
signsuisse_test,sign_mt_v2,17,deu,sgg,0.43727667703665984
signsuisse_test,sign_mt_v2,18,fra,fsl,0.2791153916557131
signsuisse_test,sign_mt_v2,19,ita,lse,0.4142619909019131
signsuisse_test,sign_mt_v2,20,fra,fsl,0.298948203281878
signsuisse_test,sign_mt_v2,21,ita,lse,0.4162393377740421
signsuisse_test,sign_mt_v2,22,deu,sgg,0.22137320896104695
signsuisse_test,sign_mt_v2,23,deu,sgg,0.28284196487317825
signsuisse_test,sign_mt_v2,24,deu,sgg,0.2113900327334183
signsuisse_test,sign_mt_v2,25,deu,sgg,0.3517957824435468
signsuisse_test,sign_mt_v2,26,deu,sgg,0.42384769178853454
signsuisse_test,sign_mt_v2,27,deu,sgg,0.40431871035779826
signsuisse_test,sign_mt_v2,28,ita,lse,0.3771012499994531
signsuisse_test,sign_mt_v2,29,ita,lse,0.39081414290529415
signsuisse_test,sign_mt_v2,30,deu,sgg,0.4309908203767366
signsuisse_test,sign_mt_v2,31,fra,fsl,0.4733584423157562
signsuisse_test,sign_mt_v2,32,fra,fsl,0.5118254134825189
signsuisse_test,sign_mt_v2,33,deu,sgg,0.3420458916695857
signsuisse_test,sign_mt_v2,34,deu,sgg,0.08969355358276468
signsuisse_test,sign_mt_v2,35,deu,sgg,0.3455275533744391
signsuisse_test,sign_mt_v2,36,deu,sgg,0.29125909631804203
signsuisse_test,sign_mt_v2,37,fra,fsl,0.3966620975689201
signsuisse_test,sign_mt_v2,38,deu,sgg,0.3147443089808764
signsuisse_test,sign_mt_v2,39,deu,sgg,0.23632872589179432
signsuisse_test,sign_mt_v2,40,fra,fsl,0.29673201000834737
signsuisse_test,sign_mt_v2,41,ita,lse,0.3721411661215907
signsuisse_test,sign_mt_v2,42,ita,lse,0.324960693513409
signsuisse_test,sign_mt_v2,43,deu,sgg,0.26738347179833155
signsuisse_test,sign_mt_v2,44,ita,lse,0.40868354643903687
signsuisse_test,sign_mt_v2,45,ita,lse,0.4248875142989818
signsuisse_test,sign_mt_v2,46,fra,fsl,0.4462358892182883
signsuisse_test,sign_mt_v2,47,deu,sgg,0.35628138913374285
signsuisse_test,sign_mt_v2,48,deu,sgg,0.35037614000154543
signsuisse_test,sign_mt_v2,49,deu,sgg,0.30950695343406986
signsuisse_test,sign_mt_v2,50,ita,lse,0.46767193436304466
signsuisse_test,sign_mt_v2,51,deu,sgg,0.335415638192185
signsuisse_test,sign_mt_v2,52,deu,sgg,0.3461492054589206
signsuisse_test,sign_mt_v2,53,ita,lse,0.35609513194277326
signsuisse_test,sign_mt_v2,54,ita,lse,0.3989356638166901
signsuisse_test,sign_mt_v2,55,fra,fsl,0.491136257096676
signsuisse_test,sign_mt_v2,56,ita,lse,0.47565809718244756
signsuisse_test,sign_mt_v2,57,deu,sgg,0.24365854976997517
signsuisse_test,sign_mt_v2,58,fra,fsl,0.33201989092341266
signsuisse_test,sign_mt_v2,59,ita,lse,0.45133858130468124
signsuisse_test,sign_mt_v2,60,deu,sgg,0.23132656122756898
signsuisse_test,sign_mt_v2,61,deu,sgg,0.28102488986928076
signsuisse_test,sign_mt_v2,62,deu,sgg,0.30386219881921733
signsuisse_test,sign_mt_v2,63,fra,fsl,0.4844638672059383
signsuisse_test,sign_mt_v2,64,ita,lse,0.46181593135857163
signsuisse_test,sign_mt_v2,65,fra,fsl,0.3772374831879274
signsuisse_test,sign_mt_v2,66,fra,fsl,0.4420691041914585
signsuisse_test,sign_mt_v2,67,deu,sgg,0.3492986928994268
signsuisse_test,sign_mt_v2,68,deu,sgg,0.15554385813469387
signsuisse_test,sign_mt_v2,69,fra,fsl,0.5971986206218222
signsuisse_test,sign_mt_v2,70,ita,lse,0.25199258710334554
signsuisse_test,sign_mt_v2,71,deu,sgg,0.27886151116137614
signsuisse_test,sign_mt_v2,72,deu,sgg,0.27574556523249083
signsuisse_test,sign_mt_v2,73,deu,sgg,0.36652552877257316
signsuisse_test,sign_mt_v2,74,fra,fsl,0.42832755720133986
signsuisse_test,sign_mt_v2,75,fra,fsl,0.3746895305563693
signsuisse_test,sign_mt_v2,76,deu,sgg,0.1808525795482672
signsuisse_test,sign_mt_v2,77,fra,fsl,0.2525549366971916
signsuisse_test,sign_mt_v2,78,ita,lse,0.4017131182298626
signsuisse_test,sign_mt_v2,79,ita,lse,0.4385238507059755
signsuisse_test,sign_mt_v2,80,deu,sgg,0.3495321286936935
signsuisse_test,sign_mt_v2,81,deu,sgg,0.3376361143886327
signsuisse_test,sign_mt_v2,82,ita,lse,0.42599616577051874
signsuisse_test,sign_mt_v2,83,ita,lse,0.4809727474535222
signsuisse_test,sign_mt_v2,84,ita,lse,0.45299529780852005
signsuisse_test,sign_mt_v2,85,deu,sgg,0.2284760081065805
signsuisse_test,sign_mt_v2,86,deu,sgg,0.18774742573148406
signsuisse_test,sign_mt_v2,87,ita,lse,0.29270776572667023
signsuisse_test,sign_mt_v2,88,fra,fsl,0.2504040313015525
signsuisse_test,sign_mt_v2,89,deu,sgg,0.2866273839591783
signsuisse_test,sign_mt_v2,90,deu,sgg,0.3028495074616853
signsuisse_test,sign_mt_v2,91,fra,fsl,0.3731513789805872
signsuisse_test,sign_mt_v2,92,fra,fsl,0.26278883797239666
signsuisse_test,sign_mt_v2,93,deu,sgg,0.20828906358253446
signsuisse_test,sign_mt_v2,94,fra,fsl,0.5295916625196011
signsuisse_test,sign_mt_v2,95,deu,sgg,0.18437910039297495
signsuisse_test,sign_mt_v2,96,ita,lse,0.26679349411375414
signsuisse_test,sign_mt_v2,97,deu,sgg,0.27264921055176905
signsuisse_test,sign_mt_v2,98,deu,sgg,0.09616221043760163
signsuisse_test,sign_mt_v2,99,deu,sgg,0.14427308989851514
signsuisse_test,sign_mt_v2,100,fra,fsl,0.2657194727803139
signsuisse_test,sign_mt_v2,101,deu,sgg,0.45562817555970164
signsuisse_test,sign_mt_v2,102,deu,sgg,0.2797712747788722
signsuisse_test,sign_mt_v2,103,deu,sgg,0.24479692096311742
signsuisse_test,sign_mt_v2,104,fra,fsl,0.35920114227088884
signsuisse_test,sign_mt_v2,105,fra,fsl,0.3277522408445097
signsuisse_test,sign_mt_v2,106,deu,sgg,0.29090052806802486
signsuisse_test,sign_mt_v2,107,fra,fsl,0.5272323021344917
signsuisse_test,sign_mt_v2,108,deu,sgg,0.2861029544976326
