data,system,example_id,source,target,MeanL2Score
signsuisse_test,sockeye,0,fra,fsl,0.3721950273181949
signsuisse_test,sockeye,1,ita,lse,0.13225570296306347
signsuisse_test,sockeye,2,fra,fsl,0.2661606432076634
signsuisse_test,sockeye,3,fra,fsl,0.3579343159078478
signsuisse_test,sockeye,4,ita,lse,0.2611021515056451
signsuisse_test,sockeye,5,ita,lse,0.20794385067965343
signsuisse_test,sockeye,6,deu,sgg,0.3493723845693453
signsuisse_test,sockeye,7,deu,sgg,0.12914779224100956
signsuisse_test,sockeye,8,ita,lse,0.37052854318359824
signsuisse_test,sockeye,9,deu,sgg,0.12973683814632403
signsuisse_test,sockeye,10,deu,sgg,0.28927929716531525
signsuisse_test,sockeye,11,fra,fsl,0.18555043414902178
signsuisse_test,sockeye,12,ita,lse,0.27211326576384776
signsuisse_test,sockeye,13,deu,sgg,0.28856208820315443
signsuisse_test,sockeye,14,deu,sgg,0.220755345910807
signsuisse_test,sockeye,15,deu,sgg,0.4956057515263747
signsuisse_test,sockeye,16,deu,sgg,0.22245434712840417
signsuisse_test,sockeye,17,deu,sgg,0.45072450945330284
signsuisse_test,sockeye,18,fra,fsl,0.24182091727928262
signsuisse_test,sockeye,19,ita,lse,0.25796804499470294
signsuisse_test,sockeye,20,fra,fsl,0.17394582201298026
signsuisse_test,sockeye,21,ita,lse,0.3460914207161858
signsuisse_test,sockeye,22,deu,sgg,0.26091939781749446
signsuisse_test,sockeye,23,deu,sgg,0.15900050169914123
signsuisse_test,sockeye,24,deu,sgg,0.30303459524202864
signsuisse_test,sockeye,25,deu,sgg,0.30387842678598376
signsuisse_test,sockeye,26,deu,sgg,0.353951828465806
signsuisse_test,sockeye,27,deu,sgg,0.34970458789415587
signsuisse_test,sockeye,28,ita,lse,0.2474861459872997
signsuisse_test,sockeye,29,ita,lse,0.34375808934622737
signsuisse_test,sockeye,30,deu,sgg,0.23593753054794803
signsuisse_test,sockeye,31,fra,fsl,0.3830328189600252
signsuisse_test,sockeye,32,fra,fsl,0.4164579716421634
signsuisse_test,sockeye,33,deu,sgg,0.20837071992623804
signsuisse_test,sockeye,34,deu,sgg,0.2143928761762017
signsuisse_test,sockeye,35,deu,sgg,0.23085102134799876
signsuisse_test,sockeye,36,deu,sgg,0.18393724100349412
signsuisse_test,sockeye,37,fra,fsl,0.1982609854993877
signsuisse_test,sockeye,38,deu,sgg,0.20541719632697908
signsuisse_test,sockeye,39,deu,sgg,0.2673671755785202
signsuisse_test,sockeye,40,fra,fsl,0.2444670211658712
signsuisse_test,sockeye,41,ita,lse,0.28120238026144573
signsuisse_test,sockeye,42,ita,lse,0.22493389925019702
signsuisse_test,sockeye,43,deu,sgg,0.09801024174176977
signsuisse_test,sockeye,44,ita,lse,0.19486603542771683
signsuisse_test,sockeye,45,ita,lse,0.3777028997337272
signsuisse_test,sockeye,46,fra,fsl,0.27449298979851783
signsuisse_test,sockeye,47,deu,sgg,0.1991220989255745
signsuisse_test,sockeye,48,deu,sgg,0.3433671789978767
signsuisse_test,sockeye,49,deu,sgg,0.3620345079587706
signsuisse_test,sockeye,50,ita,lse,0.376838155536545
signsuisse_test,sockeye,51,deu,sgg,0.2002743098075059
signsuisse_test,sockeye,52,deu,sgg,0.2929070992815819
signsuisse_test,sockeye,53,ita,lse,0.2772377868223299
signsuisse_test,sockeye,54,ita,lse,0.2453787311737392
signsuisse_test,sockeye,55,fra,fsl,0.25874257511143295
signsuisse_test,sockeye,56,ita,lse,0.29377384245515226
signsuisse_test,sockeye,57,deu,sgg,0.1151860610249092
signsuisse_test,sockeye,58,fra,fsl,0.32320653989583314
signsuisse_test,sockeye,59,ita,lse,0.18318028701202344
signsuisse_test,sockeye,60,deu,sgg,0.26123930269365864
signsuisse_test,sockeye,61,deu,sgg,0.11843722410897446
signsuisse_test,sockeye,62,deu,sgg,0.2797393912886602
signsuisse_test,sockeye,63,fra,fsl,0.17445566594314213
signsuisse_test,sockeye,64,ita,lse,0.4004983269914633
signsuisse_test,sockeye,65,fra,fsl,0.3124128332863591
signsuisse_test,sockeye,66,fra,fsl,0.19869914780356007
signsuisse_test,sockeye,67,deu,sgg,0.15257225442044614
signsuisse_test,sockeye,68,deu,sgg,0.08253183574874849
signsuisse_test,sockeye,69,fra,fsl,0.47011830369344143
signsuisse_test,sockeye,70,ita,lse,0.13505391776561737
signsuisse_test,sockeye,71,deu,sgg,0.23197065098098374
signsuisse_test,sockeye,72,deu,sgg,0.2259842743529563
signsuisse_test,sockeye,73,deu,sgg,0.2988979303363243
signsuisse_test,sockeye,74,fra,fsl,0.2084333109686346
signsuisse_test,sockeye,75,fra,fsl,0.2659543282815185
signsuisse_test,sockeye,76,deu,sgg,0.3266726833972949
signsuisse_test,sockeye,77,fra,fsl,0.31170515689706246
signsuisse_test,sockeye,78,ita,lse,0.2063072337775988
signsuisse_test,sockeye,79,ita,lse,0.14894624474824092
signsuisse_test,sockeye,80,deu,sgg,0.17229542651127935
signsuisse_test,sockeye,81,deu,sgg,0.22612945193940076
signsuisse_test,sockeye,82,ita,lse,0.32701085592419127
signsuisse_test,sockeye,83,ita,lse,0.1896609819031389
signsuisse_test,sockeye,84,ita,lse,0.42689611768822455
signsuisse_test,sockeye,85,deu,sgg,0.24914859337313638
signsuisse_test,sockeye,86,deu,sgg,0.1949835898016291
signsuisse_test,sockeye,87,ita,lse,0.20794887986844632
signsuisse_test,sockeye,88,fra,fsl,0.3304454487148594
signsuisse_test,sockeye,89,deu,sgg,0.1685525485655863
signsuisse_test,sockeye,90,deu,sgg,0.2378693271121779
signsuisse_test,sockeye,91,fra,fsl,0.24348201149206566
signsuisse_test,sockeye,92,fra,fsl,0.31373101587066704
signsuisse_test,sockeye,93,deu,sgg,0.20663077747506067
signsuisse_test,sockeye,94,fra,fsl,0.2569042690435795
signsuisse_test,sockeye,95,deu,sgg,0.15141028134514992
signsuisse_test,sockeye,96,ita,lse,0.1450699622371842
signsuisse_test,sockeye,97,deu,sgg,0.3253600169918539
signsuisse_test,sockeye,98,deu,sgg,0.13610320010339158
signsuisse_test,sockeye,99,deu,sgg,0.14988427327940895
signsuisse_test,sockeye,100,fra,fsl,0.24087856176688227
signsuisse_test,sockeye,101,deu,sgg,0.29503230047644824
signsuisse_test,sockeye,102,deu,sgg,0.35104590072264813
signsuisse_test,sockeye,103,deu,sgg,0.21691935665315498
signsuisse_test,sockeye,104,fra,fsl,0.3048910075410713
signsuisse_test,sockeye,105,fra,fsl,0.23335541181632224
signsuisse_test,sockeye,106,deu,sgg,0.2375175609040128
signsuisse_test,sockeye,107,fra,fsl,0.4033006138956079
signsuisse_test,sockeye,108,deu,sgg,0.28207544747348035
signsuisse_test,sockeye,109,deu,sgg,0.18830095694671403
signsuisse_test,sockeye,110,deu,sgg,0.21317248914260845
signsuisse_test,sockeye,111,ita,lse,0.2558897019325197
signsuisse_test,sockeye,112,ita,lse,0.23807722884266258
signsuisse_test,sockeye,113,deu,sgg,0.22111908011
signsuisse_test,sockeye,114,deu,sgg,0.3243439701701406
signsuisse_test,sockeye,115,deu,sgg,0.28118554560612163
signsuisse_test,sockeye,116,deu,sgg,0.22020805102061902
signsuisse_test,sockeye,117,deu,sgg,0.2693982274920301
signsuisse_test,sockeye,118,deu,sgg,0.16073859951409236
signsuisse_test,sockeye,119,ita,lse,0.2861687363260656
signsuisse_test,sockeye,120,fra,fsl,0.16617569014361017
signsuisse_test,sockeye,121,fra,fsl,0.25372432034420944
signsuisse_test,sockeye,122,ita,lse,0.27800175729509646
signsuisse_test,sockeye,123,fra,fsl,0.26541499112790273
signsuisse_test,sockeye,124,deu,sgg,0.31810065607744886
signsuisse_test,sockeye,125,deu,sgg,0.1459641027839563
signsuisse_test,sockeye,126,ita,lse,0.3037361668494395
signsuisse_test,sockeye,127,ita,lse,0.19123326177281152
signsuisse_test,sockeye,128,fra,fsl,0.13801396048063286
signsuisse_test,sockeye,129,ita,lse,0.3806068866292382
